list,block,block_label,trial_in_block,trial_uid,task,word,word_type,correct_tone,condition,gender,audio,item_role,is_repeat,repeat_condition,original_task,first_exposure_id,correct_response,correct_pos,heard_tone_pos,heard_tone,opt0_text,opt0_role,opt0_tone,opt1_text,opt1_role,opt1_tone,opt2_text,opt2_role,opt2_tone,opt3_text,opt3_role,opt3_tone,opt4_text,opt4_role,opt4_tone,opt5_text,opt5_role,opt5_tone
1,1,Task3_FreeRecall,1,L1_B1_1,3,背水一战,single_card_t2,2.0,Err_T1_Intra_C4,F,resources/yi_cardinal_T2/背水一战_F_Err_T1_Intra_C4.mp3,fixed,0,,,,背水一战,,,T4,,,,,,,,,,,,,,,,,,
1,1,Task3_FreeRecall,2,L1_B1_2,3,不管三七二十一,single_bu,4.0,Err_T1_C2,M,resources/bu_single/不管三七二十一_M_Err_T1_C2.mp3,fixed,0,,,,不管三七二十一,,,T2,,,,,,,,,,,,,,,,,,
1,1,Task3_FreeRecall,3,L1_B1_3,3,不打不相识,double_bu,4;4,Err_T1T2_C2C2,F,resources/bu_double/不打不相识_F_Err_T1T2_C2C2.mp3,fixed,0,,,,不打不相识,,,,,,,,,,,,,,,,,,,,,
1,1,Task3_FreeRecall,4,L1_B1_4,3,一寸光阴一寸金,double_yi,2;2,Err_T1_Inter_C1,F,resources/yi_double/一寸光阴一寸金_F_Err_T1_Inter_C1.mp3,fixed,0,,,,一寸光阴一寸金,,,T1,,,,,,,,,,,,,,,,,,
1,1,Task3_FreeRecall,5,L1_B1_5,3,不见棺材不落泪,double_bu,2;2,Err_T1T2_C4C4,F,resources/bu_double/不见棺材不落泪_F_Err_T1T2_C4C4.mp3,fixed,0,,,,不见棺材不落泪,,,,,,,,,,,,,,,,,,,,,
1,1,Task3_FreeRecall,6,L1_B1_6,3,一失足成千古恨,single_card_t4,4.0,Cor,F,resources/yi_cardinal_T4/一失足成千古恨_F_Cor.mp3,fixed,0,,,,一失足成千古恨,,,T4,,,,,,,,,,,,,,,,,,
1,1,Task3_FreeRecall,7,L1_B1_7,3,有一说一,double_yi,1;1,Err_T1_Inter_C2,M,resources/yi_double/有一说一_M_Err_T1_Inter_C2.mp3,fixed,0,,,,有一说一,,,T1,,,,,,,,,,,,,,,,,,
1,1,Task3_FreeRecall,8,L1_B1_8,3,油盐不进,single_bu,2.0,Cor,M,resources/bu_single/油盐不进_M_Cor.mp3,fixed,0,,,,油盐不进,,,T2,,,,,,,,,,,,,,,,,,
1,1,Task3_FreeRecall,9,L1_B1_9,3,死不认账,single_bu,2.0,Err_T1_C4,M,resources/bu_single/死不认账_M_Err_T1_C4.mp3,fixed,0,,,,死不认账,,,T4,,,,,,,,,,,,,,,,,,
1,1,Task3_FreeRecall,10,L1_B1_10,3,不共戴天,single_bu,2.0,Err_T1_C4,F,resources/bu_single/不共戴天_F_Err_T1_C4.mp3,fixed,0,,,,不共戴天,,,T4,,,,,,,,,,,,,,,,,,
1,1,Task3_FreeRecall,11,L1_B1_11,3,眼不见心不烦,double_bu,2;4,Err_T1_C4,M,resources/bu_double/眼不见心不烦_M_Err_T1_C4.mp3,fixed,0,,,,眼不见心不烦,,,T1,,,,,,,,,,,,,,,,,,
1,1,Task3_FreeRecall,12,L1_B1_12,3,下不为例,single_bu,4.0,Cor,M,resources/bu_single/下不为例_M_Cor.mp3,fixed,0,,,,下不为例,,,T4,,,,,,,,,,,,,,,,,,
1,1,Task3_FreeRecall,13,L1_B1_13,3,不靠谱,single_bu,2.0,Err_T1_C4,M,resources/bu_single/不靠谱_M_Err_T1_C4.mp3,fixed,0,,,,不靠谱,,,T4,,,,,,,,,,,,,,,,,,
